epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,42401.8,0.83099,3.66871,0.30551,0.73583,1.09753,0.89727,0.86527,0.93329,0.75116,0.78111,0.7416,0.70352,0.23643,0.78768,3.38281,0.31457,0.63116,1.06339,0.000548,0.000548,0.000548
57,43162.2,0.82562,3.69003,0.3032,0.73886,1.09469,0.88284,0.86843,0.9336,0.75743,0.80411,0.73133,0.72494,0.24558,0.77563,3.36045,0.31384,0.6232,1.05675,0.0005216,0.0005216,0.0005216
58,43919.8,0.82342,3.69591,0.30403,0.72988,1.0954,0.87809,0.87933,0.9343,0.75753,0.79126,0.72896,0.72329,0.24654,0.77429,3.37095,0.31347,0.61905,1.05704,0.0004952,0.0004952,0.0004952
59,44672,0.82334,3.64171,0.30092,0.72975,1.09434,0.88504,0.87396,0.93638,0.76197,0.78747,0.74222,0.71583,0.24782,0.76782,3.32942,0.31517,0.60623,1.04867,0.0004688,0.0004688,0.0004688
60,45417.6,0.80676,3.64071,0.30455,0.72802,1.0875,0.8868,0.87238,0.93284,0.75816,0.79822,0.73765,0.725,0.24923,0.77358,3.3519,0.31284,0.6128,1.05252,0.0004424,0.0004424,0.0004424
61,46161.4,0.8046,3.61589,0.29955,0.71806,1.0839,0.89743,0.8629,0.93464,0.76241,0.79752,0.74042,0.72611,0.24674,0.76963,3.33687,0.30909,0.61127,1.04866,0.000416,0.000416,0.000416
62,46905.4,0.81364,3.62312,0.30046,0.728,1.09307,0.90477,0.85207,0.93483,0.76437,0.80347,0.75109,0.74325,0.25747,0.76267,3.31175,0.31398,0.61146,1.04715,0.0003896,0.0003896,0.0003896
63,47650.7,0.80855,3.5163,0.29754,0.71702,1.0884,0.90139,0.85953,0.93742,0.76424,0.8037,0.73765,0.72311,0.24571,0.76138,3.32428,0.31057,0.60381,1.04605,0.0003632,0.0003632,0.0003632
64,48394.2,0.79971,3.57562,0.30117,0.71217,1.08372,0.88778,0.87712,0.93752,0.76835,0.80607,0.75425,0.7449,0.25819,0.74978,3.28114,0.3094,0.59702,1.03576,0.0003368,0.0003368,0.0003368
65,49166.7,0.79902,3.55403,0.29548,0.71299,1.08002,0.87724,0.88582,0.93738,0.7662,0.80417,0.73984,0.73206,0.25427,0.75333,3.30119,0.30789,0.59456,1.0453,0.0003104,0.0003104,0.0003104
66,49921,0.6919,3.21253,0.31616,0.59329,1.03571,0.89167,0.87481,0.93634,0.76227,0.80014,0.74872,0.73183,0.25253,0.76538,3.29239,0.31063,0.60715,1.05113,0.000284,0.000284,0.000284
67,50658.7,0.67359,3.15387,0.31319,0.58314,1.02786,0.89086,0.87399,0.93671,0.76831,0.81475,0.74397,0.74185,0.2643,0.75572,3.26087,0.30848,0.59746,1.04425,0.0002576,0.0002576,0.0002576
68,51402,0.66774,3.13808,0.30769,0.56754,1.02398,0.89446,0.87317,0.93688,0.76718,0.79935,0.75869,0.74666,0.26426,0.75181,3.26456,0.30707,0.59471,1.04364,0.0002312,0.0002312,0.0002312
69,52143.6,0.66687,3.15989,0.31143,0.5645,1.02635,0.89194,0.87396,0.93767,0.77065,0.81789,0.74881,0.75204,0.26454,0.7468,3.24795,0.30796,0.58806,1.03916,0.0002048,0.0002048,0.0002048
70,52886.8,0.65004,3.10686,0.30902,0.55001,1.01416,0.88021,0.88548,0.93763,0.77088,0.8162,0.7527,0.75064,0.26312,0.74712,3.25338,0.30664,0.58496,1.03772,0.0001784,0.0001784,0.0001784
71,53638.6,0.65918,3.13191,0.31012,0.5518,1.02067,0.87182,0.88898,0.9378,0.76908,0.81147,0.75069,0.74674,0.26097,0.74578,3.24365,0.30582,0.58565,1.0352,0.000152,0.000152,0.000152
72,54393.6,0.65165,3.07578,0.3099,0.54454,1.01509,0.89944,0.86226,0.93738,0.77197,0.80658,0.75789,0.74898,0.26541,0.74547,3.23336,0.30369,0.57921,1.03742,0.0001256,0.0001256,0.0001256
73,55146.9,0.64559,3.0642,0.30596,0.54036,1.01175,0.89588,0.86606,0.93763,0.7719,0.80782,0.7507,0.74545,0.26319,0.7397,3.23016,0.30372,0.57997,1.03596,9.92e-05,9.92e-05,9.92e-05
74,55922.2,0.64009,3.03803,0.30741,0.53681,1.01363,0.90076,0.86068,0.93853,0.77305,0.81572,0.75729,0.75384,0.26612,0.73946,3.2201,0.30325,0.5752,1.03486,7.28e-05,7.28e-05,7.28e-05
75,56684.5,0.63929,3.04322,0.30153,0.53547,1.01105,0.9016,0.86409,0.93866,0.77501,0.81227,0.74879,0.74111,0.26252,0.73633,3.2209,0.30335,0.57438,1.03257,4.64e-05,4.64e-05,4.64e-05
